Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Lunar: Silver Star Story Complete,1998,Role-Playing,Kadokawa Shoten,0.27,0.18,0.06,0.04,0.55,78,15,9.1,35,Game Arts,T
Xenogears,1998,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,1.46,84,15,8.4,204,SquareSoft,T
Street Fighter Alpha 3,1998,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,1.03,93,12,8.5,46,Capcom,T
Oddworld: Abe's Exoddus,1998,Platform,GT Interactive,0.55,0.38,0,0.06,0.99,88,13,9.1,69,Oddworld Inhabitants,T
R4: Ridge Racer Type 4,1998,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06,88,18,9.2,21,Namco,N/A
Parasite Eve,1998,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1,81,17,8.9,89,SquareSoft,M
Grand Theft Auto 2,1998,Action,Take-Two Interactive,1.13,2.07,0,0.22,3.42,70,15,8,67,DMA Design,T
Medal of Honor,1998,Shooter,Electronic Arts,1.44,1.09,0,0.14,2.67,92,17,8.6,80,Dreamworks Interactive,T
Resident Evil 2,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89,13,9.2,364,Capcom,M
Metal Gear Solid,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94,20,9.4,918,KCEJ,M
Tekken 3,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96,15,9.1,367,Namco,T
Crash Bandicoot 3: Warped,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91,12,8.9,432,Naughty Dog,E
Seaman,1999,Simulation,Sega,0,0,0.52,0,0.52,82,24,8.4,16,Vivarium,T
SoulCalibur,1999,Fighting,Namco Bandai Games,0,0,0.34,0,0.34,98,24,8.8,200,Namco,T
The Longest Journey,1999,Adventure,Empire Interactive,0,0.01,0,0,0.02,91,26,8.9,439,Funcom,M
Age of Empires II: The Age of Kings,1999,Strategy,Microsoft Game Studios,0.01,0.08,0,0.01,0.09,92,21,9,801,Ensemble Studios,T
Saiyuki: Journey West,1999,Strategy,Tecmo Koei,0.03,0.02,0,0,0.05,73,9,7.1,9,Koei,E
Bust A Groove 2,1999,Misc,Enix Corporation,0.04,0.03,0.18,0.02,0.26,66,8,8.9,35,Metro,E
Incredible Crisis,1999,Action,Titus,0.04,0.03,0,0.01,0.08,80,11,7.5,11,Polygon Magic,T
Dragon Valor,1999,Role-Playing,Sony Computer Entertainment,0.04,0.03,0,0,0.07,57,9,8.3,10,Namco,T
Digimon Digital Card Battle,1999,Strategy,Namco Bandai Games,0.06,0.04,0,0.01,0.11,51,5,9,44,Bandai,T
ECW Anarchy Rulz,1999,Fighting,Acclaim Entertainment,0.06,0.04,0,0.01,0.11,43,7,6.3,4,Acclaim,E
Valkyrie Profile,1999,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05,0.81,81,8,8.8,37,Tri-Ace,T
Harvest Moon: Back to Nature,1999,Simulation,Ubisoft,0.11,0.07,0.12,0.02,0.32,82,6,9.3,78,Victor Interactive Software,E
Grandia,1999,Role-Playing,Ubisoft,0.14,0.09,0,0.02,0.25,89,14,6.6,77,Game Arts,E
Lunar 2: Eternal Blue Complete,1999,Role-Playing,Kadokawa Shoten,0.19,0.13,0,0.02,0.35,86,12,8.9,37,Game Arts,T
WipEout 3,1999,Racing,Psygnosis,0.19,0.13,0,0.02,0.34,89,14,8.5,15,Psygnosis,E
Parasite Eve II,1999,Role-Playing,SquareSoft,0.32,0.22,0,0.04,0.58,79,14,9,77,SquareSoft,M
Need for Speed: Porsche Unleashed,1999,Racing,Electronic Arts,0.43,0.29,0,0.05,0.77,78,13,8.5,24,Eden Studios,E
Final Fantasy Anthology,1999,Role-Playing,Square EA,0.45,0.3,0,0.05,0.8,80,14,8.1,28,SquareSoft,T
Shenmue,1999,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,88,9,9.4,201,Sega AM2,T
Chrono Cross,1999,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86,94,16,8.1,297,SquareSoft,T
Ape Escape,1999,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63,90,19,8.8,53,SCEI,E
Silent Hill,1999,Action,Konami Digital Entertainment,0.71,0.48,0.3,0.1,1.6,86,17,9.2,326,KCET,M
Frogger 2: Swampy's Revenge,1999,Action,Hasbro Interactive,0.8,0.54,0,0.09,1.43,77,4,7.9,8,Blitz Games,E
The Legend of Dragoon,1999,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86,74,12,8.4,248,SCEI,T
Need For Speed: High Stakes,1999,Racing,Electronic Arts,1.58,0.64,0,0.09,2.31,86,14,8.5,28,EA Canada,E
Final Fantasy VIII,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,24,8.6,644,SquareSoft,T
Crash Team Racing,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88,20,9,233,Naughty Dog,E
Driver,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87,22,8.1,78,Reflections Interactive,T
Tony Hawk's Pro Skater,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92,18,9.2,69,Neversoft Entertainment,T
Gran Turismo 2,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93,23,9,135,Polyphony Digital,T
Capcom vs. SNK,2000,Fighting,Virgin Interactive,0,0,0.22,0,0.22,80,17,9,24,Capcom,T
Deus Ex,2000,Role-Playing,Eidos Interactive,0,0.01,0,0,0.01,90,28,9.3,1069,Ion Storm,M
Grandia II,2000,Role-Playing,Ubisoft,0,0,0.2,0,0.2,90,17,8.8,57,Game Arts,T
Phantasy Star Online,2000,Role-Playing,Sega,0,0,0.2,0,0.2,89,21,9.1,33,Sonic Team,T
Sega GT,2000,Racing,Sega,0,0,0.13,0,0.13,84,25,7.7,11,TOSE,E
Skies of Arcadia,2000,Role-Playing,Sega,0,0,0.09,0,0.09,93,21,9.4,98,Overworks,T
The Typing of the Dead,2000,Shooter,Sega,0,0,0.05,0,0.05,83,12,7.8,12,Smilebit,M
Diablo II,2000,Role-Playing,Havas Interactive,0.01,0.1,0,0.02,0.13,88,34,8.8,1056,Blizzard North,M
The Sims,2000,Simulation,Electronic Arts,0.01,0.03,0,0.01,0.05,92,38,7.9,451,Maxis,T
Hogs of War,2000,Strategy,Infogrames,0.01,0.01,0,0,0.02,62,10,8.8,31,Infogrames Sheffield,T
Point Blank 3,2000,Shooter,Namco Bandai Games,0.01,0.01,0,0,0.02,78,5,8.4,5,Tose Software,T
Colin McRae Rally 2.0,2000,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91,90,13,8.7,31,Codemasters,E
Dance Dance Revolution Disney Mix,2000,Simulation,Konami Digital Entertainment,0.02,0.02,0,0,0.04,74,7,8.3,13,Konami,E
Persona 2: Eternal Punishment,2000,Role-Playing,Atlus,0.03,0.02,0.28,0.02,0.35,83,11,8.4,25,Atlus Co.,T
Silpheed: The Lost Planet,2000,Shooter,Swing! Entertainment,0.03,0.03,0,0.01,0.07,72,12,7.5,4,Treasure,T
Disney's Donald Duck: Goin' Quackers,2000,Platform,Ubisoft,0.04,0.03,0,0.01,0.08,73,10,7.3,7,Disney Interactive,E
Ephemeral Fantasia,2000,Role-Playing,Konami Digital Entertainment,0.04,0.03,0,0.01,0.08,48,16,6.3,39,KCEJ,T
Gadget Racers,2000,Racing,Midas Interactive Entertainment,0.04,0.03,0,0.01,0.08,67,10,7.4,7,Barnhouse Effect,E
Duke Nukem: Land of the Babes,2000,Shooter,Atari,0.04,0.03,0,0,0.08,37,7,6.8,20,n-Space,M
Disney's Aladdin in Nasira's Revenge,2000,Action,Sony Computer Entertainment,0.05,0.04,0,0.01,0.09,61,11,8.3,7,Argonaut Games,E
Rollcage Stage II,2000,Racing,Sony Computer Entertainment,0.05,0.03,0,0.01,0.09,85,7,8.9,16,Attention To Detail,E
Strider 2,2000,Platform,Virgin Interactive,0.05,0.03,0,0.01,0.08,69,15,8.1,11,Capcom,E
Victorious Boxers: Ippo's Road to Glory,2000,Fighting,Empire Interactive,0.05,0.04,0.38,0.01,0.47,75,15,8,10,New,T
Tales of Destiny II,2000,Role-Playing,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81,78,9,8.7,31,Namco,T
MotoGP,2000,Racing,Namco Bandai Games,0.06,0.05,0.14,0.02,0.27,77,16,6,5,Namco,E
Ring of Red,2000,Strategy,Konami Digital Entertainment,0.06,0.04,0,0.01,0.11,82,15,8.7,11,Konami,T
Chicken Run,2000,Adventure,Eidos Interactive,0.07,0.05,0,0.01,0.13,75,7,6.2,6,Blitz Games,E
RC Revenge Pro,2000,Racing,Acclaim Entertainment,0.08,0.06,0,0.02,0.17,49,13,7.6,7,Acclaim,E
Romance of the Three Kingdoms VII,2000,Strategy,Tecmo Koei,0.08,0.06,0.16,0.02,0.32,72,10,8.7,11,Koei,E
World Destruction League: Thunder Tanks,2000,Action,3DO,0.08,0.07,0,0.02,0.17,65,16,5.9,7,3DO,T
Destruction Derby Raw,2000,Racing,Sony Computer Entertainment,0.08,0.05,0,0.01,0.14,69,9,7.3,14,Studio 33,E
Disney's Donald Duck: Goin' Quackers,2000,Platform,Ubisoft,0.08,0.06,0,0.01,0.15,65,4,7,10,Ubisoft Shanghai,E
Disney's The Lion King: Simba's Mighty Adventure,2000,Action,Activision,0.08,0.06,0,0.01,0.15,30,5,6.9,9,Paradox Development,E
Alien Resurrection,2000,Shooter,Fox Interactive,0.09,0.06,0,0.01,0.16,61,12,7.5,15,Argonaut Games,M
World Destruction League: Thunder Tanks,2000,Action,3DO,0.09,0.06,0,0.01,0.17,35,4,1.2,6,3DO,T
ESPN Winter X Games: Snowboarding 2002,2000,Sports,Konami Digital Entertainment,0.1,0.08,0,0.03,0.21,64,14,7.9,8,Konami,T
Eternal Ring,2000,Role-Playing,Ubisoft,0.1,0.07,0.1,0.03,0.3,62,13,5.3,9,From Software,T
EverGrace,2000,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,0.35,59,12,7.8,4,From Software,T
Ball Breakers,2000,Action,Take-Two Interactive,0.1,0.07,0,0.01,0.18,68,10,5.3,4,Lost Toys,E
Breath of Fire IV,2000,Role-Playing,Capcom,0.11,0.08,0.34,0.04,0.56,83,10,8.9,45,Capcom,T
Surfing H3O,2000,Sports,Take-Two Interactive,0.12,0.1,0,0.03,0.25,46,15,4.6,8,Opus,E
HBO Boxing,2000,Fighting,Acclaim Entertainment,0.12,0.08,0,0.01,0.21,26,7,4,5,Osiris Studios,E
Mortal Kombat: Special Forces,2000,Fighting,Midway Games,0.12,0.08,0,0.01,0.21,28,7,2.4,17,Midway,M
Fantavision,2000,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47,72,18,6.3,9,SCEJ,E
WinBack: Covert Operations,2000,Shooter,Midas Interactive Entertainment,0.14,0.11,0,0.04,0.29,66,11,7.7,20,Omega Force,T
Army Men: Sarge's Heroes 2,2000,Shooter,3DO,0.14,0.09,0,0.02,0.24,48,8,7.3,7,3DO,T
Ultimate Fighting Championship,2000,Fighting,Ubisoft,0.14,0.09,0,0.02,0.25,53,6,7.4,16,Opus,T
Orphen: Scion of Sorcery,2000,Role-Playing,Activision,0.15,0.12,0,0.04,0.31,54,15,5.8,8,Shade,T
Rayman 2: Revolution,2000,Platform,Ubisoft,0.15,0.11,0,0.04,0.3,90,16,8.2,42,Ubisoft,E
Evil Dead: Hail to the King,2000,Adventure,THQ,0.15,0.1,0,0.02,0.27,51,8,6,7,Heavy Iron Studios,M
Kengo: Master of Bushido,2000,Fighting,Ubisoft,0.16,0.13,0.06,0.04,0.39,62,13,8.4,8,Light Weight,M
Mobile Suit Gundam: Journey to Jaburo,2000,Simulation,Namco Bandai Games,0.16,0.13,0.36,0.04,0.7,58,16,8.1,49,Bandai,T
Sky Odyssey,2000,Simulation,Sony Computer Entertainment,0.16,0.12,0,0.04,0.32,79,18,8.4,9,CAProduction,E
Mega Man Legends 2,2000,Adventure,Capcom,0.17,0.12,0.1,0.03,0.42,76,10,8.8,29,Capcom,E
Army Men: Air Attack 2,2000,Action,3DO,0.17,0.11,0,0.02,0.3,74,8,5.3,4,3DO,T
Disney's The Emperor's New Groove,2000,Platform,Sony Computer Entertainment,0.17,0.12,0,0.02,0.31,66,8,7.2,6,Disney Interactive,E
FIFA 2001 Major League Soccer,2000,Sports,Electronic Arts,0.18,0.12,0,0.02,0.32,85,10,7.8,5,EA Sports,E
TimeSplitters,2000,Shooter,Eidos Interactive,0.21,0.17,0,0.06,0.43,81,23,8,40,Free Radical Design,T
Theme Park Roller Coaster,2000,Strategy,Electronic Arts,0.23,0.18,0,0.06,0.48,82,11,7.9,17,Bullfrog Productions,E
Resident Evil: Survivor,2000,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71,39,10,7,47,Capcom,M
Digimon World 2,2000,Role-Playing,Namco Bandai Games,0.23,0.16,0.16,0.04,0.58,42,5,7.6,47,Bandai,E
Knockout Kings 2001,2000,Fighting,Electronic Arts,0.23,0.15,0,0.03,0.41,84,11,8.5,6,EA Sports,T
Dynasty Warriors 2,2000,Action,THQ,0.24,0.19,0.34,0.06,0.83,75,17,8.8,24,Omega Force,T
Ridge Racer V,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,78,20,7.7,6,Namco,E
Summoner,2000,Role-Playing,THQ,0.25,0.2,0,0.07,0.51,74,16,7.8,12,Volition Inc.,T
Star Wars: Demolition,2000,Racing,Activision,0.25,0.17,0,0.03,0.46,63,11,6.5,6,"Luxoflux, Inc.",T
Kessen,2000,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95,75,20,8.4,12,Koei,T
Armored Core 2,2000,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79,78,23,8.4,19,From Software,T
Unreal Tournament,2000,Shooter,Infogrames,0.28,0.22,0,0.07,0.58,77,23,6.8,13,Epic Games,M
The Bouncer,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99,66,20,8,35,DreamFactory,T
Vagrant Story,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,92,19,8.3,129,SquareSoft,T
Mega Man X5,2000,Platform,Capcom,0.3,0.21,0.2,0.05,0.75,76,10,8.9,55,Capcom,E
007 Racing,2000,Racing,Electronic Arts,0.3,0.2,0,0.03,0.53,51,16,4.6,14,Eutechnyx,T
Street Fighter EX3,2000,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85,64,17,7.9,31,Arika,T
Tenchu 2: Birth of the Stealth Assassins,2000,Action,Activision,0.32,0.22,0,0.04,0.58,77,14,8.7,32,Acquire,M
Dino Crisis 2,2000,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,86,13,9,91,Capcom,M
NASCAR 2001,2000,Racing,Electronic Arts,0.34,0.27,0,0.09,0.7,66,16,6.6,9,EA Sports,E
Buzz Lightyear of Star Command,2000,Platform,Activision,0.35,0.24,0,0.04,0.63,54,10,5.3,4,Traveller's Tales,E
NHL 2001,2000,Sports,Electronic Arts,0.35,0.24,0,0.04,0.63,88,10,7.7,7,Page 44 Studios,E
NASCAR 2001,2000,Racing,Electronic Arts,0.45,0.31,0,0.05,0.81,73,8,6.1,9,Black Box,E
NHL 2001,2000,Sports,Electronic Arts,0.47,0.37,0,0.12,0.96,85,22,8.1,9,EA Sports,E
007: The World is not Enough,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92,61,11,6.7,44,Black Ops Entertainment,T
Medal of Honor: Underground,2000,Shooter,Electronic Arts,0.54,0.37,0,0.06,0.97,86,16,9,44,Dreamworks Interactive,T
Tokyo Xtreme Racer Zero,2000,Racing,Crave Entertainment,0.66,0.52,0.15,0.17,1.5,76,15,8.9,64,Genki,E
NBA Live 2001,2000,Sports,Electronic Arts,0.7,0.47,0,0.08,1.25,86,10,8,6,EA Sports,E
NFL Fever 2002,2000,Sports,Microsoft Game Studios,0.74,0.21,0,0.04,0.99,79,24,8.5,10,Microsoft Game Studios,E
Smuggler's Run,2000,Racing,Take-Two Interactive,0.77,0.6,0,0.2,1.56,79,21,6.8,18,Rockstar San Diego,T
SSX,2000,Sports,Electronic Arts,0.78,0.61,0.06,0.2,1.66,93,35,8.3,33,EA Sports Big,E
Dark Cloud,2000,Role-Playing,Sony Computer Entertainment,0.83,0.44,0.08,0.19,1.54,80,27,8.2,99,Level 5,T
Dave Mirra Freestyle BMX,2000,Sports,Acclaim Entertainment,0.91,0.11,0,0.03,1.05,82,14,8.4,5,"Z-Axis, Ltd.",E
NFL 2K1,2000,Sports,Sega,1.02,0.05,0,0.02,1.09,97,22,6,47,Visual Concepts,E
Madden NFL 2001,2000,Sports,Electronic Arts,1.19,0.07,0.05,0.2,1.5,91,25,7.7,7,EA Sports,E
Crash Bash,2000,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39,68,12,8.2,99,Eurocom Entertainment Software,E
Madden NFL 2001,2000,Sports,Electronic Arts,1.58,0.05,0,0.04,1.67,90,14,6.8,4,EA Sports,E
Final Fantasy IX,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,SquareSoft,T
The Sims: Livin Large,2000,Misc,Electronic Arts,1.67,1.18,0,0.13,2.99,82,23,6.6,20,Maxis,T
Tekken Tag Tournament,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05,85,25,8.5,117,Namco,T
Spider-Man,2000,Action,Activision,1.7,1.25,0.02,0.16,3.13,87,19,9,107,Neversoft Entertainment,E
Spyro: Year of the Dragon,2000,Platform,Sony Computer Entertainment,1.93,1.58,0,0.19,3.71,91,15,8.8,207,Insomniac Games,E
Midnight Club: Street Racing,2000,Racing,Take-Two Interactive,2,0.47,0.02,0.14,2.63,78,18,7.8,21,Angel Studios,T
Driver 2,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,62,14,7.7,92,Reflections Interactive,T
Tony Hawk's Pro Skater 2,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98,19,7.7,299,Neversoft Entertainment,T
Stronghold,2001,Strategy,Gathering of Developers,0,0.09,0,0.02,0.11,81,19,8.9,224,FireFly Studios,T
Empire Earth,2001,Strategy,Vivendi Games,0,0.04,0,0.01,0.05,81,23,8.2,126,Stainless Steel Studios,T
Microsoft Train Simulator,2001,Simulation,Microsoft Game Studios,0,0.04,0,0.01,0.05,84,16,8.4,21,Kuju Entertainment,E
Cossacks: European Wars,2001,Strategy,Strategy First,0,0.02,0,0,0.03,74,16,8.6,60,GSC Game World,T
Crazy Taxi 2,2001,Racing,Sega,0,0,0.07,0,0.07,82,18,8.1,29,Hitmaker,T
IL-2 Sturmovik,2001,Simulation,Blue Byte,0,0.01,0,0,0.01,91,12,8.8,130,"1C, 1C Company",T
Max Payne,2001,Shooter,Take-Two Interactive,0,0.02,0,0,0.02,89,32,9.1,1016,Remedy Entertainment,M
Phantasy Star Online Ver. 2,2001,Role-Playing,Sega,0,0,0.19,0,0.19,80,10,8.9,18,Sonic Team,T
Shenmue II,2001,Adventure,Sega,0,0,0.15,0,0.15,88,9,9.4,201,Sega AM2,T
Sonic Adventure 2,2001,Platform,Sega,0,0,0.12,0,0.12,89,18,8.6,236,Sonic Team,E
Worms World Party,2001,Strategy,Virgin Interactive,0,0.01,0,0,0.02,75,8,7.6,68,Team 17,E
Harry Potter and the Sorcerer's Stone,2001,Action,Electronic Arts,0.01,0.04,0,0.01,0.06,65,11,7.8,76,KnowWonder,E
Digimon Rumble Arena,2001,Fighting,Namco Bandai Games,0.01,0.01,0,0,0.02,64,5,8.8,71,Bandai,E
E.T. The Extra-Terrestrial,2001,Action,NewKidCo,0.01,0,0,0,0.01,46,4,2.4,21,Fluid Studios,E
Forever Kingdom,2001,Role-Playing,From Software,0.02,0.02,0.04,0.01,0.09,64,13,7.8,6,From Software,T
Gitaroo Man,2001,Misc,THQ,0.02,0.02,0,0.01,0.05,82,21,8.7,25,Koei/Inis,E
Stretch Panic,2001,Platform,Midas Interactive Entertainment,0.02,0.02,0,0.01,0.05,65,14,7.8,4,Treasure,T
Stunt GP,2001,Racing,Titus,0.02,0.02,0,0.01,0.05,49,8,8.1,9,Team 17,E
WarJetz,2001,Shooter,3DO,0.02,0.02,0,0.01,0.04,59,9,5.5,4,3DO,T
Woody Woodpecker: Escape from Buzz Buzzard Park,2001,Platform,DreamCatcher Interactive,0.02,0.02,0,0.01,0.05,64,5,7.4,5,EKO Software,E
Yanya Caballista: City Skater,2001,Sports,Tecmo Koei,0.02,0.02,0,0.01,0.05,58,13,6.3,7,Cave,E
Sunny Garcia Surfing,2001,Sports,Ubisoft,0.02,0.01,0,0,0.03,61,11,7.9,7,Krome Studios,E
Dragon Rage,2001,Shooter,3DO,0.03,0.02,0,0.01,0.06,50,9,6.4,9,3DO,T
Giants: Citizen Kabuto,2001,Shooter,Interplay,0.03,0.02,0,0.01,0.06,79,15,6.9,8,Digital Mayhem,T
Rez,2001,Shooter,Sony Computer Entertainment,0.03,0.02,0,0.01,0.05,78,34,8.3,28,UGA,E
Hoshigami: Ruining Blue Earth,2001,Role-Playing,Max Five,0.03,0.02,0,0,0.05,62,9,8.7,26,Max Five,E
Time Crisis: Project Titan,2001,Shooter,Namco Bandai Games,0.03,0.02,0,0,0.05,71,13,6.7,6,Flying Tiger Development,T
Dark Angel: Vampire Apocalypse,2001,Role-Playing,Metro 3D,0.04,0.03,0,0.01,0.09,53,9,5.6,5,Metro3D,T
Hidden Invasion,2001,Shooter,Swing! Entertainment,0.04,0.03,0,0.01,0.08,39,4,5.8,4,Toka,T
MetropolisMania,2001,Strategy,Natsume,0.04,0.03,0,0.01,0.09,63,5,7.1,16,Indi,T
Project Eden,2001,Action,Eidos Interactive,0.04,0.03,0,0.01,0.09,71,20,7.8,8,Core Design Ltd.,T
The Legend of Alon D'ar,2001,Role-Playing,Ubisoft,0.04,0.03,0,0.01,0.08,43,14,6.7,10,Stormfront Studios,T
Wizardry: Tale of the Forsaken Land,2001,Role-Playing,Ubisoft,0.04,0.03,0,0.01,0.09,70,14,7.5,6,Racjin,T
Jurassic Park III: Park Builder,2001,Simulation,Konami Digital Entertainment,0.04,0.02,0,0,0.06,65,5,8,5,Konami,E
